food_name,ingredient_name,gram,,,,,,
Phở bò,Bánh phở,200,,,,,,
Phở bò,Thịt bò loại I,120,,,,,,
Phở bò,Hành tây,20,,,,,,
Phở bò,Hành lá (hành hoa),10,,,,,,
Phở bò,Gừng tươi,5,,,,,,
Phở bò,Nước mắm cá ( loại I),10,,,,,,
Phở bò,Hạt tiêu,2,,,,,,
Phở gà,Bánh phở,200,,,,,,
Phở gà,Thịt gà ta,150,,,,,,
Phở gà,Hành tây,20,,,,,,
Phở gà,Hành lá (hành hoa),10,,,,,,
Phở gà,Gừng tươi,5,,,,,,
Phở gà,Nước mắm cá ( loại I),10,,,,,,
Bún bò Huế,Bún,200,,,,,,
Bún bò Huế,Thịt bò loại II,120,,,,,,
Bún bò Huế,Chân giò lợn,120,,,,,,
Bún bò Huế,Hành tây,20,,,,,,
Bún bò Huế,Nước mắm cá ( loại I),10,,,,,,
Bún riêu,Bún,200,,,,,,
Bún riêu,Cua đồng,150,,,,,,
Bún riêu,Cà chua,80,,,,,,
Bún riêu,Đậu phụ,80,,,,,,
Bún riêu,Hành lá (hành hoa),10,,,,,,
Bún riêu,Mắm tôm đăc,5,,,,,,
Bún chả,Bún,200,,,,,,
Bún chả,Hành tây,20,,,,,,
Bún chả,Nước mắm cá ( loại I),15,,,,,,
Bún chả,Đường cát,5,,,,,,
Bún chả,Rau xà lách,40,,,,,,
Bún thịt nướng,Bún,200,,,,,,
Bún thịt nướng,Rau xà lách,40,,,,,,
Bún thịt nướng,Dưa chuột,40,,,,,,
Bún thịt nướng,Nước mắm cá ( loại I),15,,,,,,
Bún cá,Bún,200,,,,,,
Bún cá,Cá rô phi,150,,,,,,
Bún cá,Cà chua,60,,,,,,
Bún cá,Hành lá (hành hoa),10,,,,,,
Bún cá,Nước mắm cá ( loại I),10,,,,,,
Bún mọc,Bún,200,,,,,,
Bún mọc,Giò lụa,100,,,,,,
Bún mọc,Thịt lợn nạc,100,,,,,,
Bún mọc,Nấm hương tươi,40,,,,,,
Bún mọc,Hành lá (hành hoa),10,,,,,,
Bún thang,Bún,200,,,,,,
Bún thang,Thịt gà ta,100,,,,,,
Bún thang,Trứng gà,50,,,,,,
Bún thang,Giò lụa,60,,,,,,
Bún thang,Nấm hương khô,20,,,,,,
Bún thang,Hành lá (hành hoa),10,,,,,,
Hủ tiếu Nam Vang,Mì sợi,200,,,,,,
Hủ tiếu Nam Vang,Tôm biển,80,,,,,,
Hủ tiếu Nam Vang,Thịt lợn nạc,80,,,,,,
Hủ tiếu Nam Vang,Gan lợn,50,,,,,,
Hủ tiếu Nam Vang,Trứng chim cút,30,,,,,,
Hủ tiếu Nam Vang,Hành lá (hành hoa),10,,,,,,
Hủ tiếu gõ,Mì sợi,200,,,,,,
Hủ tiếu gõ,Thịt lợn nạc,100,,,,,,
Hủ tiếu gõ,Gan lợn,40,,,,,,
Hủ tiếu gõ,Hành lá (hành hoa),10,,,,,,
Hủ tiếu gõ,Nước mắm cá ( loại I),10,,,,,,
Cơm tấm,Gạo tẻ máy,200,,,,,,
Cơm tấm,Sườn lợn,150,,,,,,
Cơm tấm,Trứng gà,60,,,,,,
Cơm tấm,Dưa chuột,40,,,,,,
Cơm tấm,Nước mắm cá ( loại I),15,,,,,,
Cơm gà Hải Nam,Gạo tẻ máy,200,,,,,,
Cơm gà Hải Nam,Thịt gà ta,150,,,,,,
Cơm gà Hải Nam,Gừng tươi,5,,,,,,
Cơm gà Hải Nam,Hành lá (hành hoa),10,,,,,,
